지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),해면기압(hPa)
108,서울,2021-01-02 09:00,-7.6,,2,270,39,1029.1
108,서울,2021-01-02 10:00,-6,,2.3,320,35,1029.8
108,서울,2021-01-02 11:00,-5.3,,3.2,290,32,1030.1
108,서울,2021-01-02 12:00,-3.2,,3,270,33,1029.8
108,서울,2021-01-02 13:00,-2.3,,2.5,290,31,1029.3
108,서울,2021-01-02 14:00,-1.5,,4.4,250,31,1029.1
108,서울,2021-01-02 15:00,-2.3,,5.2,290,33,1028.9
108,서울,2021-01-02 16:00,-1.7,,3.4,290,34,1029.2
108,서울,2021-01-02 17:00,-2.3,,4.5,270,35,1029.9
108,서울,2021-01-02 18:00,-3.2,,2.7,250,39,1030.6
108,서울,2021-01-02 19:00,-3.8,,2.8,270,50,1031.1
108,서울,2021-01-02 20:00,-4.2,,2.9,320,41,1031.6
108,서울,2021-01-02 21:00,-5,,2.3,290,39,1031.6
108,서울,2021-01-02 22:00,-5.5,,2.8,320,42,1031.8
108,서울,2021-01-02 23:00,-6.1,,1.9,270,45,1032
108,서울,2021-01-03 00:00,-6.6,,3.8,290,45,1032.7
108,서울,2021-01-03 01:00,-7.3,,2.4,270,48,1033.3
108,서울,2021-01-03 02:00,-7.7,,2,270,50,1033.9
108,서울,2021-01-03 03:00,-8,,2.2,250,51,1034.1
108,서울,2021-01-03 04:00,-8.3,,1.6,270,52,1034.2
108,서울,2021-01-03 05:00,-8.8,,1,270,53,1033.9
108,서울,2021-01-03 06:00,-9,,1.3,270,53,1034.8
108,서울,2021-01-03 07:00,-8.7,,1.1,290,54,1035
108,서울,2021-01-03 08:00,-8.7,,.9,230,58,1035.1
108,서울,2021-01-03 09:00,-7.6,,1.8,250,57,1035.4
108,서울,2021-01-03 10:00,-5.7,,2.6,290,46,1035.2
108,서울,2021-01-03 11:00,-4.2,,1.9,270,39,1034.8
108,서울,2021-01-03 12:00,-3.1,,2.9,270,33,1034.3
108,서울,2021-01-03 13:00,-2.4,,3.1,290,30,1034
108,서울,2021-01-03 14:00,-2.3,,3.6,290,30,1033.8
108,서울,2021-01-03 15:00,-2.4,,3.7,290,33,1033.3
108,서울,2021-01-03 16:00,-2.3,,2.5,270,35,1033.2
108,서울,2021-01-03 17:00,-2.6,,1.9,270,36,1033.3
108,서울,2021-01-03 18:00,-3.6,,2.1,270,40,1033.3
108,서울,2021-01-03 19:00,-4.4,,1.1,200,41,1033.6
108,서울,2021-01-03 20:00,-4.9,,1.4,290,43,1034.2
108,서울,2021-01-03 21:00,-5.3,,.7,270,45,1034.5
108,서울,2021-01-03 22:00,-5.9,,1.1,290,50,1034.3
108,서울,2021-01-03 23:00,-5.3,,3.2,340,44,1034
108,서울,2021-01-04 00:00,-6.2,,.5,290,48,1034.3
108,서울,2021-01-04 01:00,-6.5,,1.3,340,49,1034.4
108,서울,2021-01-04 02:00,-7,,.5,250,51,1034.6
108,서울,2021-01-04 03:00,-7.1,,.9,290,54,1034.5
108,서울,2021-01-04 04:00,-7.4,,1.3,20,56,1034.3
108,서울,2021-01-04 05:00,-8.1,,1.7,50,52,1034.3
108,서울,2021-01-04 06:00,-8.1,,2.2,70,47,1033.6
108,서울,2021-01-04 07:00,-8.3,,2.4,50,51,1033.5
108,서울,2021-01-04 08:00,-8.1,,2.3,50,48,1033.8
108,서울,2021-01-04 09:00,-7.6,,2.5,50,48,1033.9
108,서울,2021-01-04 10:00,-5.6,,1.3,50,43,1034.1
108,서울,2021-01-04 11:00,-3,,2.4,50,40,1033.5
108,서울,2021-01-04 12:00,-1.5,,2.4,50,40,1032.2
108,서울,2021-01-04 13:00,-.6,,1.9,90,41,1031
108,서울,2021-01-04 14:00,-.4,,1.6,50,40,1030.1
108,서울,2021-01-04 15:00,0,,1.6,360,40,1030.1
108,서울,2021-01-04 16:00,.2,,1.3,200,42,1029.8
108,서울,2021-01-04 17:00,-.3,,1.2,270,51,1029.4
108,서울,2021-01-04 18:00,-.9,,1,50,52,1029.1
108,서울,2021-01-04 19:00,-.9,,1.8,70,49,1028.8
108,서울,2021-01-04 20:00,-.7,,.7,200,51,1028.7
108,서울,2021-01-04 21:00,-.5,,2.3,90,57,1028.3
108,서울,2021-01-04 22:00,-.6,,2.6,320,54,1028.7
108,서울,2021-01-04 23:00,-1.3,,1,50,69,1029
108,서울,2021-01-05 00:00,-2.1,0,2.4,50,73,1029.1
108,서울,2021-01-05 01:00,-2.5,,.5,110,75,1029.3
108,서울,2021-01-05 02:00,-2.5,,1.4,340,77,1029.3
108,서울,2021-01-05 03:00,-2.5,0,1,250,76,1028.9
108,서울,2021-01-05 04:00,-2.7,,2.2,290,78,1029
108,서울,2021-01-05 05:00,-3.9,,2.7,320,82,1029.3
108,서울,2021-01-05 06:00,-4.2,0,3.7,320,80,1029.7
108,서울,2021-01-05 07:00,-4.8,,2.5,290,77,1030.8
108,서울,2021-01-05 08:00,-5.6,,3.1,270,75,1032
108,서울,2021-01-05 09:00,-5.8,0,3.3,320,67,1032.6
108,서울,2021-01-05 10:00,-5.2,,3.9,290,46,1032.8
108,서울,2021-01-05 11:00,-4.6,,4.4,290,36,1032.9
108,서울,2021-01-05 12:00,-4.6,,4.4,290,33,1031.9
108,서울,2021-01-05 13:00,-4.1,,4.8,290,34,1030.8
108,서울,2021-01-05 14:00,-4.2,,4.3,290,33,1029.9
108,서울,2021-01-05 15:00,-3.8,,4.2,250,35,1029.8
108,서울,2021-01-05 16:00,-3.6,,3.3,290,33,1029.5
108,서울,2021-01-05 17:00,-4.5,,3.6,270,31,1029.2
108,서울,2021-01-05 18:00,-5.7,,2.8,320,34,1029.6
108,서울,2021-01-05 19:00,-6.5,,1.9,290,39,1030.5
108,서울,2021-01-05 20:00,-7.1,,3.6,340,41,1030.5
108,서울,2021-01-05 21:00,-7.6,,4.9,320,43,1030.5
108,서울,2021-01-05 22:00,-8.5,,2.5,290,51,1030.2
108,서울,2021-01-05 23:00,-9.5,,.9,230,53,1030
108,서울,2021-01-06 00:00,-9.9,,1.8,270,54,1030.2
108,서울,2021-01-06 01:00,-10.3,,1.8,270,57,1029.9
108,서울,2021-01-06 02:00,-10.6,,1.9,270,57,1029.8
108,서울,2021-01-06 03:00,-11.1,,1.7,290,61,1029.9
108,서울,2021-01-06 04:00,-11.2,,1.3,290,64,1029.2
108,서울,2021-01-06 05:00,-11.6,,1.3,340,64,1028.4
108,서울,2021-01-06 06:00,-11.7,,.8,290,62,1028.4
108,서울,2021-01-06 07:00,-11.9,,2.2,20,61,1028.1
108,서울,2021-01-06 08:00,-11.7,,2.4,20,64,1028
108,서울,2021-01-06 09:00,-10.7,,1.4,50,62,1028.4
108,서울,2021-01-06 10:00,-8.2,,1.6,200,53,1028.5
108,서울,2021-01-06 11:00,-7,,2.4,270,46,1027.5
108,서울,2021-01-06 12:00,-6,,2.3,360,37,1026
108,서울,2021-01-06 13:00,-4.6,,3,270,30,1024.6
108,서울,2021-01-06 14:00,-3.6,,3.1,270,26,1022.6
108,서울,2021-01-06 15:00,-2.3,,1.9,230,26,1021.9
108,서울,2021-01-06 16:00,-2.2,,2.9,200,25,1021.4
108,서울,2021-01-06 17:00,-3.2,,2.6,180,27,1020.7
108,서울,2021-01-06 18:00,-3.7,,2.7,200,28,1019.7
108,서울,2021-01-06 19:00,-4.2,,3.4,200,60,1019.3
108,서울,2021-01-06 20:00,-5.5,,1.7,160,87,1018
108,서울,2021-01-06 21:00,-5.1,2.2,2,230,89,1017.7
108,서울,2021-01-06 22:00,-4.7,,3.5,250,77,1016.8
108,서울,2021-01-06 23:00,-5.6,,3.4,250,76,1016.9
108,서울,2021-01-07 00:00,-8.3,.1,6.4,290,72,1019.8
108,서울,2021-01-07 01:00,-9.6,,4.4,270,75,1020.8
108,서울,2021-01-07 02:00,-11.6,,5,290,54,1022.7
108,서울,2021-01-07 03:00,-13.2,,5.6,320,55,1024
108,서울,2021-01-07 04:00,-14.3,,3.4,290,59,1024.5
108,서울,2021-01-07 05:00,-15,,5.6,270,56,1024.9
108,서울,2021-01-07 06:00,-15.6,,5.5,290,58,1025.8
108,서울,2021-01-07 07:00,-16.1,,5.3,270,55,1026.7
108,서울,2021-01-07 08:00,-16.4,,4.3,270,55,1027.1
108,서울,2021-01-07 09:00,-16.2,,2.8,270,56,1028.4
108,서울,2021-01-07 10:00,-15.3,,5.4,270,50,1029.1
108,서울,2021-01-07 11:00,-14.8,,,,48,1028.5
108,서울,2021-01-07 12:00,-13.8,,,,45,1027.9
108,서울,2021-01-07 13:00,-13.1,,4.2,290,42,1027.1
108,서울,2021-01-07 14:00,-12.4,,4.4,290,40,1026.9
108,서울,2021-01-07 15:00,-12.4,,4.8,290,38,1027
108,서울,2021-01-07 16:00,-12.3,,4.6,290,37,1027.2
108,서울,2021-01-07 17:00,-13,,4.5,270,38,1027.6
108,서울,2021-01-07 18:00,-13.7,,1.6,340,45,1027.2
108,서울,2021-01-07 19:00,-14.2,,2.1,290,46,1027.6
108,서울,2021-01-07 20:00,-14.6,,1.4,340,47,1027.5
108,서울,2021-01-07 21:00,-14.9,,2.9,270,50,1027.2
108,서울,2021-01-07 22:00,-15.3,,2.5,270,54,1027.1
108,서울,2021-01-07 23:00,-15.5,,3.3,340,54,1026.8
108,서울,2021-01-08 00:00,-15.9,,2.5,320,52,1026.9
108,서울,2021-01-08 01:00,-16.5,,1.9,290,50,1026.6
108,서울,2021-01-08 02:00,-16.9,,2.4,290,52,1027
108,서울,2021-01-08 03:00,-17.2,,3.8,270,47,1027.1
108,서울,2021-01-08 04:00,-17.5,,3,270,47,1027.3
108,서울,2021-01-08 05:00,-17.8,,2.9,270,47,1027.5
108,서울,2021-01-08 06:00,-17.8,,3.7,290,47,1027.4
108,서울,2021-01-08 07:00,-18.2,,1.9,270,46,1027.2
108,서울,2021-01-08 08:00,-18.5,,2.1,270,49,1027.3
108,서울,2021-01-08 09:00,-17.9,,1.9,290,46,1027.4
108,서울,2021-01-08 10:00,-15.6,,3.4,250,39,1027.4
108,서울,2021-01-08 11:00,-14.5,,2.3,290,38,1026.6
108,서울,2021-01-08 12:00,-13.4,,3.2,290,37,1025.8
108,서울,2021-01-08 13:00,-12.2,,3.8,270,38,1024.3
108,서울,2021-01-08 14:00,-11.6,,3.9,290,36,1023.4
108,서울,2021-01-08 15:00,-11.2,,5.6,290,36,1022.9
108,서울,2021-01-08 16:00,-11.3,,5.8,290,35,1023
108,서울,2021-01-08 17:00,-11.7,,2.7,270,39,1023.1
108,서울,2021-01-08 18:00,-12.6,,3,290,41,1023.6
108,서울,2021-01-08 19:00,-13.1,,3.4,270,42,1024.1
108,서울,2021-01-08 20:00,-13.5,,3.3,270,47,1024.4
108,서울,2021-01-08 21:00,-14.1,,3.2,270,51,1025.1
108,서울,2021-01-08 22:00,-14.5,,2.7,290,54,1025.6
108,서울,2021-01-08 23:00,-15.2,,2.9,20,55,1026
108,서울,2021-01-09 00:00,-15.4,,3.1,340,47,1025.6
108,서울,2021-01-09 01:00,-15.3,,1.9,50,44,1025.1
108,서울,2021-01-09 02:00,-15.1,,1.9,20,47,1025.4
108,서울,2021-01-09 03:00,-14.8,,2.6,320,42,1025.4
108,서울,2021-01-09 04:00,-15.7,,1.4,270,43,1024.8
108,서울,2021-01-09 05:00,-16,,1.2,270,48,1025.1
108,서울,2021-01-09 06:00,-16.4,,1.1,340,50,1025.1
108,서울,2021-01-09 07:00,-16.3,,1,290,48,1024.7
108,서울,2021-01-09 08:00,-16.2,,1.5,360,51,1024.8
108,서울,2021-01-09 09:00,-15.2,,.6,230,50,1025.4
108,서울,2021-01-09 10:00,-12.5,,1,70,45,1025.6
108,서울,2021-01-09 11:00,-11,,3.3,270,37,1025.6
108,서울,2021-01-09 12:00,-10.1,,3.8,290,37,1025
108,서울,2021-01-09 13:00,-9.3,,4.1,290,37,1024.2
108,서울,2021-01-09 14:00,-8.7,,5.8,270,38,1023.5
108,서울,2021-01-09 15:00,-8.2,,3.4,270,38,1023.5
108,서울,2021-01-09 16:00,-7.7,,3.9,270,39,1023.4
108,서울,2021-01-09 17:00,-8.9,,5.4,270,40,1023.8
108,서울,2021-01-09 18:00,-9.7,,3.1,270,43,1024.5
108,서울,2021-01-09 19:00,-10.2,,4.2,270,44,1025.3
108,서울,2021-01-09 20:00,-10.7,,2.1,290,48,1026.3
108,서울,2021-01-09 21:00,-10.9,,2.9,270,53,1026.5
108,서울,2021-01-09 22:00,-11.2,,2.3,320,55,1027.2
108,서울,2021-01-09 23:00,-11.7,,1.8,360,56,1027.3
108,서울,2021-01-10 00:00,-12.2,,1.7,360,57,1027.4
108,서울,2021-01-10 01:00,-12.4,,1.4,20,57,1027.3
108,서울,2021-01-10 02:00,-12.3,,1.4,360,55,1027.5
108,서울,2021-01-10 03:00,-12.2,,1.5,360,55,1027.9
108,서울,2021-01-10 04:00,-12.5,,.9,320,58,1027.8
108,서울,2021-01-10 05:00,-12.5,,.6,320,63,1027.9
108,서울,2021-01-10 06:00,-12.6,,1,290,65,1027.8
108,서울,2021-01-10 07:00,-12.7,,1,290,67,1028.3
108,서울,2021-01-10 08:00,-12.6,,.3,0,68,1028.3
108,서울,2021-01-10 09:00,-12.2,,2.4,50,69,1029.3
108,서울,2021-01-10 10:00,-9.7,,1.1,70,63,1029.1
108,서울,2021-01-10 11:00,-7.3,,1.7,90,51,1028.9
108,서울,2021-01-10 12:00,-6,,1.3,70,46,1028.1
108,서울,2021-01-10 13:00,-3.8,,1.2,160,41,1027.2
108,서울,2021-01-10 14:00,-2.8,,1.5,200,39,1026.3
108,서울,2021-01-10 15:00,-3.2,,1.3,110,38,1026.3
108,서울,2021-01-10 16:00,-3.3,,1.9,160,40,1026.4
108,서울,2021-01-10 17:00,-3.6,,1.5,160,45,1027
108,서울,2021-01-10 18:00,-4.2,,.5,20,45,1027.5
108,서울,2021-01-10 19:00,-4.4,,.9,320,48,1028.1
108,서울,2021-01-10 20:00,-4.6,,.9,230,51,1028.6
108,서울,2021-01-10 21:00,-4.8,,1.2,250,53,1028.9
108,서울,2021-01-10 22:00,-5.4,,1.9,290,58,1028.9
108,서울,2021-01-10 23:00,-6.3,,1,290,57,1029.8
108,서울,2021-01-11 00:00,-6.6,,2.5,320,64,1030.1
108,서울,2021-01-11 01:00,-7.1,,2.6,290,66,1030
108,서울,2021-01-11 02:00,-7.9,,2.8,270,69,1030.7
108,서울,2021-01-11 03:00,-8.5,,1.2,70,67,1030.2
108,서울,2021-01-11 04:00,-9.1,,1.3,50,67,1029.6
108,서울,2021-01-11 05:00,-9.5,,1.1,50,69,1029.3
108,서울,2021-01-11 06:00,-9.5,,1.5,360,71,1029.5
108,서울,2021-01-11 07:00,-9.1,,.9,320,72,1029.7
108,서울,2021-01-11 08:00,-8.8,,1.5,20,68,1029.5
108,서울,2021-01-11 09:00,-8.4,,3,50,71,1028.9
108,서울,2021-01-11 10:00,-7.7,,2.3,20,71,1029.4
108,서울,2021-01-11 11:00,-6.7,,2.4,50,68,1029.5
108,서울,2021-01-11 12:00,-6.1,,2.6,50,63,1028.3
108,서울,2021-01-11 13:00,-5,,2.7,50,58,1027
108,서울,2021-01-11 14:00,-4.3,,2.2,70,54,1025.7
108,서울,2021-01-11 15:00,-4.1,,2.1,50,51,1024.9
108,서울,2021-01-11 16:00,-4.1,,2.1,50,52,1024.3
108,서울,2021-01-11 17:00,-4.2,,1.7,50,51,1024
108,서울,2021-01-11 18:00,-5.1,,2.1,50,53,1024.2
108,서울,2021-01-11 19:00,-5.4,,1.3,320,54,1024.4
108,서울,2021-01-11 20:00,-5.7,,1.4,50,55,1024.6
108,서울,2021-01-11 21:00,-5.9,,1.3,20,58,1024.3
108,서울,2021-01-11 22:00,-6.6,,2.3,20,61,1023.7
108,서울,2021-01-11 23:00,-6.7,,.7,340,62,1023.4
108,서울,2021-01-12 00:00,-6.1,,1.9,360,63,1023
108,서울,2021-01-12 01:00,-6.3,,1.1,20,63,1022.3
108,서울,2021-01-12 02:00,-7.5,,2,50,68,1022.1
108,서울,2021-01-12 03:00,-8.2,,2.4,20,71,1021.6
108,서울,2021-01-12 04:00,-8.6,,2.3,20,73,1021.1
108,서울,2021-01-12 05:00,-8.9,,2.1,50,73,1020.5
108,서울,2021-01-12 06:00,-9.1,,2.5,50,76,1020.1
108,서울,2021-01-12 07:00,-9.3,,2.4,20,77,1020.1
108,서울,2021-01-12 08:00,-9.1,,2.8,50,78,1020.1
108,서울,2021-01-12 09:00,-7.7,,3,50,76,1020
108,서울,2021-01-12 10:00,-5.6,,2.3,50,69,1019.8
108,서울,2021-01-12 11:00,-3.9,,1.6,90,66,1019.5
108,서울,2021-01-12 12:00,-1.9,,2.7,50,63,1018.2
108,서울,2021-01-12 13:00,-1,,1.3,70,61,1017
108,서울,2021-01-12 14:00,-.7,,1,140,65,1016.2
108,서울,2021-01-12 15:00,-.8,.1,2.4,50,74,1015.5
108,서울,2021-01-12 16:00,-1.5,,.8,20,88,1015.4
108,서울,2021-01-12 17:00,-1.1,,1,230,91,1015.2
108,서울,2021-01-12 18:00,-.8,2.3,1.6,200,91,1015.5
108,서울,2021-01-12 19:00,-1.3,,2.2,50,91,1015.7
108,서울,2021-01-12 20:00,-1.2,,2.2,20,93,1015.8
108,서울,2021-01-12 21:00,-.9,.2,.2,0,92,1016
108,서울,2021-01-12 22:00,-1.5,,1.6,50,92,1016
108,서울,2021-01-12 23:00,-1.8,,1.1,20,93,1016.3
108,서울,2021-01-13 00:00,-2,0,1.9,20,93,1015.9
108,서울,2021-01-13 01:00,-2.1,,2.2,50,95,1015.8
108,서울,2021-01-13 02:00,-2.1,,1.8,50,95,1015.8
108,서울,2021-01-13 03:00,-2.4,0,1.7,50,94,1015.7
108,서울,2021-01-13 04:00,-2.8,,2.3,50,94,1015.2
108,서울,2021-01-13 05:00,-2.9,,2,70,94,1015
108,서울,2021-01-13 06:00,-2.7,,1.7,50,94,1014.9
108,서울,2021-01-13 07:00,-3,,2.5,50,94,1014.7
108,서울,2021-01-13 08:00,-2.9,,2.5,50,93,1014.9
108,서울,2021-01-13 09:00,-2.1,,2.4,50,94,1015
108,서울,2021-01-13 10:00,-.6,,2.2,50,91,1015.4
108,서울,2021-01-13 11:00,1.4,,2.1,50,84,1014.7
108,서울,2021-01-13 12:00,2.9,,2.2,50,77,1013.6
108,서울,2021-01-13 13:00,4.4,,2,50,75,1013.2
108,서울,2021-01-13 14:00,7.3,,3.3,200,66,1012
108,서울,2021-01-13 15:00,8.2,,3.4,200,65,1012.2
108,서울,2021-01-13 16:00,8,,4.8,230,69,1012.7
108,서울,2021-01-13 17:00,7.3,,3.5,230,73,1013.4
108,서울,2021-01-13 18:00,6.9,,2.2,230,77,1013.8
108,서울,2021-01-13 19:00,5.8,,2.1,270,80,1014.4
108,서울,2021-01-13 20:00,5.1,,2.8,250,82,1015.7
108,서울,2021-01-13 21:00,3.9,,2,270,78,1017.1
108,서울,2021-01-13 22:00,2.8,,1.8,250,73,1017.6
108,서울,2021-01-13 23:00,1.9,,1.9,290,67,1019.1
108,서울,2021-01-14 00:00,.9,,1.8,290,63,1020
108,서울,2021-01-14 01:00,.3,,1.9,290,60,1020.9
108,서울,2021-01-14 02:00,-.6,,1.7,290,56,1021.6
108,서울,2021-01-14 03:00,-1.2,,1.4,290,57,1021.5
108,서울,2021-01-14 04:00,-2.1,,1,250,63,1021.7
108,서울,2021-01-14 05:00,-2.4,,1.6,250,63,1022.8
108,서울,2021-01-14 06:00,-2.8,,2.6,270,63,1023.4
108,서울,2021-01-14 07:00,-3.1,,1.9,270,67,1023.9
108,서울,2021-01-14 08:00,-3.4,,1,320,70,1024.3
108,서울,2021-01-14 09:00,-3,,2.5,20,70,1024.7
108,서울,2021-01-14 10:00,-.6,,1.4,70,61,1024.6
108,서울,2021-01-14 11:00,1.4,,1.7,70,43,1024.2
108,서울,2021-01-14 12:00,3.3,,3.2,70,32,1023.3
108,서울,2021-01-14 13:00,4.7,,3.1,90,33,1022.3
108,서울,2021-01-14 14:00,5.9,,3.7,70,31,1021.5
108,서울,2021-01-14 15:00,6.8,,2.4,70,29,1021
108,서울,2021-01-14 16:00,6.8,,2.4,90,30,1020.9
108,서울,2021-01-14 17:00,5.9,,2.4,50,33,1020.9
108,서울,2021-01-14 18:00,4.5,,2.4,50,37,1020.8
108,서울,2021-01-14 19:00,3.9,,2.7,70,38,1020.7
108,서울,2021-01-14 20:00,3.8,,3.4,70,39,1020.2
108,서울,2021-01-14 21:00,3.5,,2.7,70,39,1020.1
108,서울,2021-01-14 22:00,3.3,,2.8,70,39,1019.8
108,서울,2021-01-14 23:00,2.8,,1.7,50,42,1020.2
108,서울,2021-01-15 00:00,2.1,,2.2,50,45,1020
108,서울,2021-01-15 01:00,2.2,,2.7,70,43,1019.9
108,서울,2021-01-15 02:00,2.6,,2.6,70,45,1020
108,서울,2021-01-15 03:00,3.2,,2.7,70,43,1019.4
108,서울,2021-01-15 04:00,3.2,,2.1,50,43,1018.5
108,서울,2021-01-15 05:00,3.5,,2,70,46,1017.9
108,서울,2021-01-15 06:00,3.7,,2.5,50,47,1017.1
108,서울,2021-01-15 07:00,3.8,,2.5,50,52,1016.6
108,서울,2021-01-15 08:00,4.2,,2.2,50,57,1016.3
108,서울,2021-01-15 09:00,4.8,,2.4,50,58,1015.7
108,서울,2021-01-15 10:00,5.5,,2.1,50,60,1014.6
108,서울,2021-01-15 11:00,6.3,,1.9,50,65,1014.5
108,서울,2021-01-15 12:00,8.8,,3.1,180,78,1012.8
108,서울,2021-01-15 13:00,9.8,,4.8,230,80,1012.2
108,서울,2021-01-15 14:00,9.8,,5.2,230,82,1011.4
108,서울,2021-01-15 15:00,9.2,.2,5.6,230,82,1011.6
108,서울,2021-01-15 16:00,7.7,,3.5,250,76,1012.9
108,서울,2021-01-15 17:00,6.7,,4.1,250,79,1014.3
108,서울,2021-01-15 18:00,5.3,,3.7,250,81,1015.7
108,서울,2021-01-15 19:00,4,,3.7,250,81,1016.2
108,서울,2021-01-15 20:00,3.1,,4.9,250,81,1016.8
108,서울,2021-01-15 21:00,1.5,,4.1,250,76,1017.8
108,서울,2021-01-15 22:00,.8,,3.3,270,78,1018.8
108,서울,2021-01-15 23:00,.2,,3.3,290,75,1019
108,서울,2021-01-16 00:00,-.7,,2.8,270,74,1019.7
108,서울,2021-01-16 01:00,-1.7,,2.6,250,74,1020.2
108,서울,2021-01-16 02:00,-2.4,,3,290,75,1021
108,서울,2021-01-16 03:00,-3.1,,2.9,290,76,1021.6
108,서울,2021-01-16 04:00,-4,,2.7,270,76,1022.1
108,서울,2021-01-16 05:00,-4.7,,3,270,77,1023
108,서울,2021-01-16 06:00,-5.4,,3.2,270,78,1023.7
108,서울,2021-01-16 07:00,-6,,2.2,290,72,1024.5
108,서울,2021-01-16 08:00,-6.6,,3.4,270,69,1025
108,서울,2021-01-16 09:00,-6.5,,3.1,250,69,1025.7
108,서울,2021-01-16 10:00,-5.8,,3.5,290,65,1026.4
108,서울,2021-01-16 11:00,-4.9,,3.5,290,63,1026.9
108,서울,2021-01-16 12:00,-3.6,,2.7,290,55,1026.3
108,서울,2021-01-16 13:00,-2.3,,3.1,270,48,1025.5
108,서울,2021-01-16 14:00,-1.8,,3.1,270,43,1025.4
108,서울,2021-01-16 15:00,-1.7,,3.7,250,48,1025.5
108,서울,2021-01-16 16:00,-2.9,,4.5,320,39,1025.8
108,서울,2021-01-16 17:00,-3.3,,4.1,250,47,1026.3
108,서울,2021-01-16 18:00,-4.1,,3.6,270,53,1026.9
108,서울,2021-01-16 19:00,-4.7,,4.9,270,55,1026.9
108,서울,2021-01-16 20:00,-5.6,,4,270,43,1027.8
108,서울,2021-01-16 21:00,-6.4,,2.9,290,45,1028.3
108,서울,2021-01-16 22:00,-7.4,,2.4,290,41,1028.6
108,서울,2021-01-16 23:00,-8.2,,3.5,290,44,1028.8
108,서울,2021-01-17 00:00,-8.7,,3.1,290,50,1029.3
108,서울,2021-01-17 01:00,-9.3,,2,270,50,1030
108,서울,2021-01-17 02:00,-9.4,,3.1,270,52,1030.4
108,서울,2021-01-17 03:00,-9.5,,2.8,270,58,1030.7
108,서울,2021-01-17 04:00,-9.8,,2.1,270,59,1030.3
108,서울,2021-01-17 05:00,-9.8,,2.4,270,58,1030.5
108,서울,2021-01-17 06:00,-10.3,,1.6,270,60,1030.4
108,서울,2021-01-17 07:00,-10.5,,1.4,290,61,1030.8
108,서울,2021-01-17 08:00,-10.8,,1.2,270,60,1030.9
108,서울,2021-01-17 09:00,-9.9,,2.2,290,59,1031.2
108,서울,2021-01-17 10:00,-8.1,,1.9,320,50,1031
108,서울,2021-01-17 11:00,-6.1,,2.5,270,43,1030.6
108,서울,2021-01-17 12:00,-4.4,,2.3,250,35,1029.1
108,서울,2021-01-17 13:00,-3.1,,1.7,290,32,1027.5
108,서울,2021-01-17 14:00,-2.2,,1.8,250,36,1026.4
108,서울,2021-01-17 15:00,-1.6,,3.6,180,40,1025.6
108,서울,2021-01-17 16:00,-1.8,,3.1,200,44,1025.6
108,서울,2021-01-17 17:00,-2.2,,3.2,230,53,1025.4
108,서울,2021-01-17 18:00,-2.6,0,3.2,200,58,1025
108,서울,2021-01-17 19:00,-2.8,,1.9,250,61,1024.9
108,서울,2021-01-17 20:00,-2.8,,3.1,200,67,1024.7
